Study ID,Title,Country,City,Indicator,Tools,nature_type,nature_quantity,exposure_type
Sudimac 2022,"A one-hour walk in nature reduces amygdala activity in women, but not in men",Germany,Berlin,Stress,fMRI,NA,NA,NA
Janeczko 2020,When Urban Environment Is Restorative: The Effect of Walking in Suburbs and Forests on Psychological and Physiological Relaxation of Young Polish Adults,Poland,Warsaw,"Affect; Depression; Mood; Restorative effects/Restorativeness; Other: Vitality, Tension, Anger, Fatigue, Confusion, Vigor",POMS; PANAS; ROS; SVS,Greenspace - Forest/Tree; Greenspace - Green alley/Roadside green,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Zhang 2022,Effects of tree canopy on psychological distress: A repeated cross-sectional study before and during the COVID-19 epidemic,China,Beijing,Mental distress,GHQ-12,Greenspace - Forest/Tree,Percentage of greenspace,L1 - neighborhood/residential exposure
Tomita 2017,Green environment and incident depression in South Africa: a geospatial analysis and mental health implications in a resource-limited setting,South Africa,m,Depression,CES-D20 (Center for Epidemiologic Studies Depression Scale - 20),NA,NA,NA
Young 2022,"Eviction from paradise: Lived experience, psycho-social and health effects of allotment garden loss",Switzerland,Zurich,Mental wellbeing in general*; Emotional wellbeing,SF-12; SF-36,Greenspace - Garden,NA (or not specified),L5 - gardening (yes/no)
Bratman 2015,The benefits of nature experience: Improved affect and cognition,United States,"Stanford, California",Affect; Cognitive functioning,STAI; RRQ; PANAS; OSPAN; ANT; Change detection task,Greenspace - Park,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Jones 2021,Psycho-physiological responses of repeated exposure to natural and urban environments,UK,Stoke-on-Trent,Cognitive functioning; Mood; Restorative effects/Restorativeness,BMS; Backward Digit Span task; ROS,Greenspace - Park,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Pedersen 2019,Wetland areas' direct contributions to residents' well-being entitle them to high cultural ecosystem values,NA,NA,NA,NA,NA,NA,NA
Han 2021,"Effects of Three Levels of Green Exercise, Physical and Social Environments, Personality Traits, Physical Activity, and Engagement with Nature on Emotions and Attention",China,Taiwan,"Anxiety; Depression; Emotional wellbeing; Mood; Self-esteem; Other: Attention, Vigour, Confusion, Fatigue, Anger",POMS; SSF; DSB,Greenspace - Park,NA (or not specified),Other: L3 - view of nature from window; L4 - stay static in nature; L4 - physical activity in nature
Bollenbach 2022,How do people feel while walking in the city? Using walking-triggered e-diaries to investigate the association of social interaction and environmental greenness during everyday life walking,Germany,Stuttgart,Affect,MMQ,NA,NA,NA
McEwan 2022,'This Is What the Colour Green Smells Like!': Urban Forest Bathing Improved Adolescent Nature Connection and Wellbeing,UK,London,Anxiety,POMS (Profile of Mood States),Greenspace - Forest/Tree,NA (or not specified),"L4 - stay static in nature (e.g., sitting/meditation/forest bathing)"
Olsen 2019,Are urban landscapes associated with reported life satisfaction and inequalities in life satisfaction at the city level? A cross-sectional study of 66 European cities,m,NA,Life satisfaction,EUA,NA,NA,NA
Legrand 2022,Effects of Outdoor Walking on Positive and Negative Affect: Nature Contact Makes a Big Difference,France,Reims,Affect,PANAS (Positive and Negative Affect Schedule),Greenspace - General* (not specified),NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Tesler 2018,"The Effects of an Urban Forest Health Intervention Program on Physical Activity, Substance Abuse, Psychosomatic Symptoms, and Life Satisfaction among Adolescents",Israel,NA,"Mental wellbeing in general*; Life satisfaction; Substance use disorders (e.g., alcohol use disorder, drug  addiction)",UFHIP,NA,NA,NA
Liao 2020,Effects of garden visits on people with dementia: A pilot study,United States,m,Cognitive functioning,Mini Mental State Exam,Greenspace - Garden,NA,NA
Wolf 2017,Young adult conservation jobs and worker health,United States,Washington State,Stress,PSS; ROPELOC,Greenspace - General* (not specified); Bluespace - Open water (river/lake/canal),Percentage of greenspace,Other: L1 - workspace surrounding; L5 - nature participatory activities
Korcz 2021,Influence of Informal Education in the Forest Stand Redevelopment Area on the Psychological Restoration of Working Adults,Poland,Swidnik,"Affect; Mood; Restorative effects/Restorativeness; Other: vitality, confusion, fatigue, anger, anxiety, vigor",POMS; PANAS; ROS; SVS,Greenspace - Forest/Tree,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Glasgow 2019,"How transport modes, the built and natural environments, and activities influence mood: A GPS smartphone app study",United States,m,Other: Mood,TMS,NA,NA,NA
Houlden 2021,Does nature make us happier? A spatial error model of greenspace types and mental wellbeing,UK,London,Happiness; Life satisfaction; Other: Worth,ONS,NA,NA,NA
Jiaqing 2019,Testing the unsolved problems hypothesis: The evolutionary life issues-mitigating function of nature exposure and its relationship with human well-being,United States,NA,Other: Symptoms of psychosis,PQ-16,NA,NA,NA
Mueller 2020,Neighbourhood greenspace and children's trajectories of self-regulation: Findings from the UK Millennium Cohort Study,UK,m,"Other:  independence, emotional dysregulation",CSBQ,NA,NA,NA
Liu 2019,"Neighbourhood greenness and mental wellbeing in Guangzhou, China: What are the pathways?",China,Guangzhou,Mental wellbeing in general*,WHO-5 (World Health Organisation 5 wellbeing Index),Greenspace - General* (not specified),NDVI (Normalized Difference Vegetation Index),L1 - neighborhood/residential exposure
Menzel 2020,Feeling Stressed and Ugly? Leave the City and Visit Nature! An Experiment on Self- and Other-Perceived Stress and Attractiveness Levels,Germany,"Tübingen, Stuttgart",Affect; Restorative effects/Restorativeness; Stress,aRRS; ROS;,Greenspace - Forest/Tree,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Tharrey 2020,Improving lifestyles sustainability through community gardening: results and lessons learnt from the JArDinS quasi-experimental study,France,Montpellier,Mental wellbeing in general*,WEMWBS (Warwick-Edinburgh Mental Wellbeing Scale),Greenspace - Garden,NA (or not specified),L5 - gardening (yes/no)
Stevenson 2019,Cognitive Restoration in Children Following Exposure to Nature: Evidence From the Attention Network Task and Mobile Eye Tracking,Denmark,Naestved,Cognitive functioning; Restorative effects/Restorativeness,ANT; PRS-C II,Greenspace - General* (not specified),NA,NA
Colley 2017,Understanding Knowledge Workers' Interactions With Workplace Greenspace: Open Space Use and Restoration Experiences at Urban-Fringe Business Sites,UK,Central Scotland,Restorative effects/Restorativeness,ROS (Restoration Outcome Scale),Greenspace - Park,NA (or not specified),"Other: L1 - workspace surrounding
L5 - gardening (yes/no)"
Bodin 2003,Does the outdoor environment matter for psychological restoration gained through running?,Sweden,NA,Mental wellbeing in general*, self-reported emotion and Attentional Performance,NA,NA,NA
Greenwood 2016,Let's go outside! Environmental restoration amongst adolescents and the impact of friends and phones,UK,London,Mood; Other: Attention,NCPCT; ZIPERS,NA,NA,NA
Mueller 2021,Urban Adolescence: The Role of Neighbourhood Greenspace in Mental Well-Being,UK,m,Happiness; Mood; Self-esteem; Other: antisocial behavior,RSE or RSES (Rosenberg Self-Esteem Scale),NA,NA,NA
Reed 2013,A Repeated Measures Experiment of Green Exercise to Improve Self-Esteem in UK School Children,UK,NA,Self-esteem,RSE or RSES (Rosenberg Self-Esteem Scale),NA,NA,NA
Basu 2021,Home gardens moderate the relationship between Covid-19-induced stay-at-home orders and mental distress: a case study with urban residents of India,India,m,Anxiety; Depression; Stress; Other: the mean score of DASS-21,"DASS-21 (Depression, Anxiety & Stress Scale - 21)",NA,NA,NA
Souter-Brown 2021,Effects of a sensory garden on workplace wellbeing: A randomised control trial,New Zealand,Auckland,Mental wellbeing in general*; Stress,Salivary cortisol; Flourishing Scale; SPANE,NA,NA,NA
South 2021,Nurtured in Nature: a Pilot Randomized Controlled Trial to Increase Time in Greenspace among Urban-Dwelling Pregnant Women,United States,"Philadelphia,PA",Depression,EPDS (Edinburgh Postnatal Depression Scale),NA,NA,NA
Nishigaki 2020,What Types of Greenspaces Are Associated with Depression in Urban and Rural Older Adults? A Multilevel Cross-Sectional Study from JAGES,Japan,NA,Depression,GDS,NA,NA,NA
Stigsdotter 2017,It is not all bad for the grey city - A crossover study on physiological and psychological restoration in a forest and an urban environment,Denmark,Copenhagen,"Anxiety; Depression; Mood; Restorative effects/Restorativeness; Stress; Other: Anger-Hostility, Vigor, Fatigue, Confusion",POMS; PRS; PSS,Greenspace - Forest/Tree,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Takayama 2014,"Emotional, Restorative and Vitalizing Effects of Forest and Urban Environments at Four Sites in Japan",Japan,Yoshino; Akiota; Kamiichi; Oita,Affect; Mood; Restorative effects/Restorativeness; Other: Subjective Vitality,POMS; PANAS; ROS; SVS,Greenspace - Forest/Tree,NA (or not specified),"Other: L4 - stay static in nature (e.g., sitting/meditation/forest bathing); L4 - physical activity in nature (e.g., walking/jogging)"
NA,Psychophysiological Effects of a Natural Forest Environment on Chinese University Students Aged 19-25 Years,China,Zhangjiajie,Affect,PANAS (Positive and Negative Affect Schedule),Greenspace - Forest/Tree,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Gidlow 2016,Where to put your best foot forward: Psycho-physiological responses to walking in natural and urban environments,UK,West Midlands,Cognitive functioning; Mood; Restorative effects/Restorativeness,ROS; POMS; Backward Digit Span (BDS),Greenspace - Park; Bluespace - Open water (river/lake/canal),NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Johansson 2011,Psychological Benefits of Walking: Moderation by Company and Outdoor Environment,Sweden,na,Affect; Mood; Other: Attention,EFI; NMS; SST,NA,NA,NA
Berman 2008,The Cognitive Benefits of Interacting With Nature,United States,"Ann Arbor, MI",Cognitive functioning; Mood; Other: Attention,PANAS; Digit-span Task,NA,NA,NA
Dopko 2019,The psychological and social benefits of a nature experience for children: A preliminary investigation,Canada,Ottawa,Mood,PANAS (Positive and Negative Affect Schedule),NA,NA,NA
Cui 2021,The Association between Exposure to Nature and Children's Happiness: The Diathesis-Stress or Differential Susceptibility Models?,China,Jinan,Happiness,SHS,NA,NA,NA
Yi 2021,Psycho-Electrophysiological Benefits of Forest Therapies Focused on Qigong and Walking with Elderly Individuals,South Korea,Cheongju City,Cognitive functioning; Depression; Other: Quality of life,MoCA; GDS; EQ-5D,NA,NA,NA
Fleming 2016,"Crime, greenspace and life satisfaction: An evaluation of the New Zealand experience",NA,NA,NA,NA,NA,NA,NA
Ochiai 2015,Physiological and Psychological Effects of a Forest Therapy Program on Middle-Aged Females,Japan,"Agematsu, Nagano Prefecture","Anxiety; Mood; Other: fatigue, vigor",POMS,Greenspace - Forest/Tree,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Houlden 2019,A spatial analysis of proximate greenspace and mental wellbeing in London,UK,London,Happiness; Life satisfaction; Other: Worth,APS,NA,NA,NA
Shin 2011,The influence of interaction with forest on cognitive function,South Korea,Cheongju,"Mental distress; Anxiety; Cognitive functioning; Depression; Mood; Other: Anger-hostility, Vigor-activity, Fatigue-inertia, Confusion-bewilderment",TrailB; POMS,Greenspace - Forest/Tree,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Pasanen 2018,"Can Nature Walks With Psychological Tasks Improve Mood, Self-Reported Restoration, and Sustained Attention? Results From Two Experimental Field Studies",Finland,Tampere,Mood; Restorative effects/Restorativeness; Other: Sustained attention,"ROS, 2-dimensional affect grid, SART",Greenspace - Park,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Baceviciene 2022,"The Mediating Effect of Nature Restorativeness, Stress Level, and Nature Connectedness in the Association between Nature Exposure and Quality of Life",Lithuania,m,Quality of life; Restorative effects/Restorativeness; Stress; Other: Quality of Life,WHOQOL-BREF; ROC; RSI,NA,NA,NA
Ambrose 2023,Comparing happiness associated with household and community gardening: Implications for food action planning,United States,Minneapolis,Emotional wellbeing; Happiness,NA,Greenspace - Garden,NA,NA
Lee 2022,Effect of Apartment Community Garden Program on Sense of Community and Stress,South Korea,NA,Stress,PWI-SF; uBioMacpa,NA,NA,NA
Yoshida 2015,"Evaluation of effect of tree canopy on thermal environment, thermal sensation, and mental state",Japan,Osaka Prefecture,"Anxiety; Depression; Other: anger-hostility, vigor, fatigue, confusion",POMS (Profile of Mood States),Greenspace - Forest/Tree,NA (or not specified),"L4 - stay static in nature (e.g., sitting/meditation/forest bathing)"
Pratiwi 2019,Physiological and Psychological Effects of Viewing Urban Parks in Different Seasons in Adults,Japan,Matsudo; Chiba,"Anxiety; Depression; Mood; Other: Anger-hostility, Confusion-bewilderment, Fatigue-inertia, Vigor-activity",POMS; STAI,Greenspace - Park,NA (or not specified),"L4 - stay static in nature (e.g., sitting/meditation/forest bathing)"
Lopes 2020,Nature can get it out of your mind: The rumination reducing effects of contact with nature and the mediating role of awe and mood,Portugal,Porto,Affect; Mood; Other: rumination,PTQ; BRSI; PANAS,Greenspace - Garden,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Pratiwi 2020,"Physiological and Psychological Effects of Walking in Urban Parks and Its Imagery in Different Seasons in Middle-Aged and Older Adults: Evidence from Matsudo City, Japan",Japan,Matsudo,"Anxiety; Depression; Mood; Other: anger-hostility,  fatigue-inertia,  confusion-bewilderment, vigor-activity",POMS; STAI,Greenspace - Park,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Mourao 2019,Perceived changes in well-being and happiness with gardening in urban organic allotments in Portugal,Portugal,Vila Nova de Famalicão,Happiness; Life satisfaction,PWI; SHS,NA,NA,NA
Watkins-Martin 2022,The effects of walking in nature on negative and positive affect in adult psychiatric outpatients with major depressive disorder: A randomized-controlled study,Canada,Quebec,Mental disorder,Diagnosis by professionals,NA,NA,NA
Hunter 2019,Urban Nature Experiences Reduce Stress in the Context of Daily Life Based on Salivary Biomarkers,NA,NA,NA,NA,NA,NA,NA
NA,Changes in cortisol and dehydroepiandrosterone levels immediately after urban park visits,United States,Birmingham,Other: subjective wellbeing,,NA,NA,NA
Mintz 2021,See or Be? Contact with nature and well-being during COVID-19 lockdown,Israel,m,Affect; Anxiety; Stress,STAI;PANAS,Greenspace - General* (not specified),NA (or not specified),Other: L1 - neighborhood/residential exposure; L3 - view of nature from window; L4 - stay static in nature
Deng 2020,"Empirical study of landscape types, landscape elements and landscape components of the urban park promoting physiological and psychological restoration",China,Chengdu,Mood; Restorative effects/Restorativeness,POMS; LPRS,Greenspace - Forest/Tree; Greenspace - Grassland; Bluespace - Open water (river/lake/canal),NA (or not specified),"L4 - stay static in nature (e.g., sitting/meditation/forest bathing)"
Frash 2016,"Healthy Parks, Happy People: An Exploratory Study of a County Park System",United States,m,Happiness,OHI,NA,NA,NA
Li 2023,Humanization of nature: Testing the influences of urban park characteristics and psychological factors on collegers' perceived restoration,China,Wuhan,Restorative effects/Restorativeness,PRS (Perceived Restorativeness Scale),Greenspace - Park,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Triguero-Mas 2017,The effect of randomised exposure to different types of natural outdoor environments compared to exposure to an urban environment on people with indications of psychological distress in Catalonia,Spain,"Barcelona, Catalonia",Mood,POMS (Profile of Mood States),Greenspace - Park; Bluespace - Beach/coastline,NA (or not specified),L4 - specific visits (or one-off visits)
HULL 1995,"NATURE-BASED RECREATION, MOOD CHANGE, AND STRESS RESTORATION",United States,NA,Mood; Stress,"TMOM; SDH (not sure, see description below)",NA,NA,NA
Payne 2019,Exploring the Relationship between Urban Quiet Areas and Perceived Restorative Benefits,UK,"Brighton and Hove, Sheffield, and Edinburgh",Emotional wellbeing; Restorative effects/Restorativeness,Open-ended questions and questionnaire,NA,NA,NA
Harding 2022,Urban Gardening and Wellbeing in Pandemic Era: Preliminary Results from a Socio-Environmental Factors Approach, Indonesia,m,Emotional wellbeing; Life satisfaction,SWLS; SPANE,NA,NA,NA
Sia 2022,The impact of gardening on mental resilience in times of stress: A case study during the COVID-19 pandemic in Singapore,Singapore,NA,Other: mental resilience,SYRSS,NA,NA,NA
Park 2017,"Comparison of Physiological and Psychological Relaxation Using Measurements of Heart Rate Variability, Prefrontal Cortex Activity, and Subjective Indexes after Completing Tasks with and without Foliage Plants",NA,"Seoul, Korea",NA,NA,NA,NA,NA
Ameli 2021,"A nature-based health intervention at a military healthcare center: a randomized, controlled, cross-over study",United States,Maryland,Mental distress; Other: mindfulness,DT; MAAS,NA,NA,NA
Sobko 2018,Measuring connectedness to nature in preschool children in an urban setting and its relation to psychological functioning,China,Hong Kong,Mental wellbeing in general*,SDQ,NA,NA,NA
Hazer 2018,"The relationship between self-reported exposure to greenspace and human stress in Baltimore, MD",United States,Baltimore,Stress,PSS (Perceived Stress Scale),Greenspace - General* (not specified),NA (or not specified),Other: L1 - neighborhood/residential exposure; L3 - view of nature from window; L4 - duration in nature
Nawrath 2022,Greenspaces and Human Well-Being: Perspectives from a Rapidly Urbanising Low-Income Country,Nepal,Kathmandu,Quality of life; Other: depressive disorder,EQ-5D-3L; PHQ-9,NA,NA,NA
Zhang 2022,"Investigating the Association between Streetscapes and Mental Health in Zhanjiang, China: Using Baidu Street View Images and Deep Learning",China,Zhanjiang,Mental disorder,Diagnosis by professionals,Greenspace - Green alley/Roadside green,Percentage of greenspace,NA
Muro 2022,Psychological benefits of Forest Bathing during the COVID-19 pandemic: a pilot study in a Mediterranean forest close to urban areas,Spain,Barcelona,Affect; Anxiety; Mood; Other: State Mindfulness,STAI; PANAS; POMS; SMS,Greenspace - Forest/Tree,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Li 2022,"Effects of forest bathing (shinrin-yoku) on serotonin in serum, depressive symptoms and subjective sleep quality in middle-aged males",Japan,Nagano Prefecture,"Mood; Other: fatigue, vigor",POMS (Profile of Mood States),Greenspace - Forest/Tree,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Hassan 2018,Effects of Walking in Bamboo Forest and City Environments on Brainwave Activity in Young Adults,China,Chengdu,Anxiety; Mood,SD; STAI,Greenspace - Forest/Tree,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Yu 2017,Effects of Short Forest Bathing Program on Autonomic Nervous System Activity and Mood States in Middle-Aged and Elderly Individuals,Taiwan,Xitou Nature Education Area,"Anxiety; Depression; Mood; Other: anger-hostility, fatigue, confusion, vigor",POMS; STAI,Greenspace - Forest/Tree,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Bielinis 2018,The effect of winter forest bathing on psychological relaxation of young Polish adults,Poland,Olsztyn,Affect; Mood; Restorative effects/Restorativeness; Other: vitality,PANAS; POMS; ROS; SVS,Greenspace - Forest/Tree,NA (or not specified),"L4 - stay static in nature (e.g., sitting/meditation/forest bathing)"
Park 2011,Relationship between psychological responses and physical environments in forest settings,Japan,m,"Mental distress; Anxiety; Depression; Mood; Other: Anger-hostility, Vigor, Confusion, Fatigue",POMS (Profile of Mood States),Greenspace - Forest/Tree,NA (or not specified),Other: L4 - stay static in nature; L4 - physical activity in nature
Ochiai 2015,Physiological and Psychological Effects of Forest Therapy on Middle-Aged Males with High-Normal Blood Pressure,Japan,"Agematsu, Nagano Prefecture","Anxiety; Depression; Mood; Other: confusion, anger-hostility, fatigue, vigor",SD; POMS,Greenspace - Forest/Tree,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Bielinis 2019,The Effects of a Short Forest Recreation Program on Physiological and Psychological Relaxation in Young Polish Adults,Poland,Olsztyn,"Mental distress; Affect; Anxiety; Depression; Mood; Restorative effects/Restorativeness; Other: anger/hostility, vigor, fatigue, confusion, vitality",POMS; PANAS; ROS; SVS,Greenspace - Forest/Tree,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Song 2019,Physiological and Psychological Effects of Viewing Forests on Young Women,Japan,m,"Anxiety; Depression; Mood; Other: anger-hostility, fatigue, confusion, vigor",SD; POMS; STAI,Greenspace - Forest/Tree,NA (or not specified),"L4 - stay static in nature (e.g., sitting/meditation/forest bathing)"
Bielinis 2019,The Effect of Recreation in a Snow-Covered Forest Environment on the Psychological Wellbeing of Young Adults: Randomized Controlled Study,Poland,Olsztyn,Mental distress; Mood; Restorative effects/Restorativeness,POMS; PANAS; ROS; SVS,Greenspace - Forest/Tree,NA (or not specified),"L4 - stay static in nature (e.g., sitting/meditation/forest bathing)"
Shin 2013,Differences of psychological effects between meditative and athletic walking in a forest and gymnasium,South Korea,Jeju City,Anxiety; Happiness; Self-esteem,STAI; RSE; HI-K,Greenspace - Forest/Tree,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Chen 2022,"Exploring the Association between Neighborhood Blue Space and Self-Rated Health among Elderly Adults: Evidence from Guangzhou, China",China,Guangzhou,Mental wellbeing in general*,SF-36 (Short From Health Survey 36-item),Bluespace - Open water (river/lake/canal); Other: residential bluespace,Other: Normalized Difference Vegetation Index (NDWI),Other: L1 - neighborhood/residential exposure; L2 - objective accessibility
Takayama 2019,"Relation between Psychological Restorativeness and Lifestyle, Quality of Life, Resilience, and Stress-Coping in Forest Settings",Japan,m,"Mental distress; Affect; Anxiety; Depression; Restorative effects/Restorativeness; Other: Subjective Vitality, anger-hostility, vigor, fatigue, confusion",PRS; POMS; ROS; PANAS; SVS,Greenspace - Forest/Tree,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Chang 2019,Association Between Surrounding Greenness and Schizophrenia: A Taiwanese Cohort Study,China,Taiwan,Psychotic disorders (include schizophrenia),ICD-9 codes,NA,NA,NA
Song 2018,Psychological Benefits of Walking through Forest Areas,Japan,Kashiwa,"Anxiety; Depression; Mood; Other: anger-hostility, fatigue, confusion, vigor",POMS; STAI,Greenspace - Forest/Tree,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Joung 2015,The Prefrontal Cortex Activity and Psychological Effects of Viewing Forest Landscapes in Autumn Season,South Korea,m,"Anxiety; Depression; Mood; Other: Anger, hostility, Vigor, Fatigue, Confusion",POMS (Profile of Mood States),Greenspace - Forest/Tree,NA (or not specified),"L4 - stay static in nature (e.g., sitting/meditation/forest bathing)"
Song 2019,Effects of Walking in a Forest on Young Women,Japan,m,"Anxiety; Depression; Mood; Other: anger-hostility, fatigue, confusion, vigor",SD; POMS; STAI,Greenspace - Forest/Tree,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Kobayashi 2021,Comparing the impact of forest walking and forest viewing on psychological states,Japan,m,Mood,POMS (Profile of Mood States),Greenspace - Forest/Tree,NA (or not specified),"Other: L4 - stay static in nature (e.g., sitting/meditation/forest bathing);
L4 - physical activity in nature (e.g., walking/jogging)"
Lyu 2019,Benefits of A Three-Day Bamboo Forest Therapy Session on the Psychophysiology and Immune System Responses of Male College Students,China,Chengdu; Ya'an; Yibin; Dujiangyan,"Anxiety; Depression; Mood; Other: anger and hostility, fatigue, confusion, vigor, total mood disturbance",POMS (Profile of Mood States),Greenspace - Forest/Tree,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Park 2008,"Physiological effects of Shinrin-yoku (taking in the atmosphere of the forest) in a mixed forest in Shinano Town, Japan",Japan,Nagano city,Other: relaxation,Electroencephalography (EEG),NA,NA,NA
Igarashi 2015,Physiological and Psychological Effects of Viewing a Kiwifruit (Actinidia deliciosa 'Hayward') Orchard Landscape in Summer in Japan,Japan,Chiba,Mood; Other: subjective perception,SD; POMS,Greenspace - Farmland,NA (or not specified),"L4 - stay static in nature (e.g., sitting/meditation/forest bathing)"
Song 2020,Effect of Viewing Real Forest Landscapes on Brain Activity,Japan,m,Psychotic disorders (include schizophrenia),Electroencephalography (EEG),NA,NA,NA
Ohe 2017,Evaluating the relaxation effects of emerging forest-therapy tourism: A multidisciplinary approach,Japan,Chizu,Other: relaxation,SD; SSI,NA,NA (or not specified),NA
Turunen 2023,"Cross-sectional associations of different types of nature exposure with psychotropic, antihypertensive and asthma medication",Finland,"Helsinki, Espoo, Vantaa",Psychotic disorders (include schizophrenia),HCREHS,NA,NA,NA
Dadvand 2016,"Green spaces and General Health: Roles of mental health status, social support, and physical activity",Spain,Barcelona,Mental wellbeing in general*,GHQ-12,Greenspace - General* (not specified),Other: NDVI; objective proximity,Other: L1 - neighborhood/residential exposure; L2 - objective accessibility (yes/no)
deVries 2003,Natural Environments—Healthy Environments? An Exploratory Analysis of the Relationship between Greenspace and Health,Netherlands,m,Mental disorder,GHQ-12,Greenspace - Garden; Greenspace - General* (not specified); Bluespace - General* (not specified),Other: Percentage of greenspace; Percentage of bluespace,Other: L1 - neighborhood/residential exposure; L5 - gardening
Grigoletto 2023,"Restoration in mental health after visiting urban green spaces, who is most affected? Comparison between good/poor mental health in four cities","Spain; the Netherlands; Lithuania; the United 
Kingdom",Barcelona; Doetinchem; Kaunas; Stoke-on-Trent,Mental wellbeing in general*; Restorative effects/Restorativeness,ROS; SF-36,Greenspace - General* (not specified),NA (or not specified),"Other: L4 - visit frequency; L4 - physical activity in nature (e.g., walking/jogging)"
Yang 2023,Moderation effect of visible urban greenery on the association between neighbourhood deprivation and subjective well-being: Evidence from Hong Kong,China,Hong Kong,Other: subjective well-being,SWLS,NA,NA,NA
Yin 2023,Effects of blue space exposure in urban and natural environments on psychological and physiological responses: A within-subject experiment,China,"Keelung,Taiwan",Restorative effects/Restorativeness,POMS; RCS,NA,NA,NA
